4	header
postResults v2.0.1	Myself_tensionX.spectralOut --increments --range 0 400 100 --separation x,y,z --split --cr texture,f,p,orientation,grainrotation
addStrainTensors v2.0.1	Myself_tensionX_inc200.txt --left --logarithmic
addCauchy v2.0.1	Myself_tensionX_inc200.txt
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_orientation	2_orientation	3_orientation	4_orientation	1_grainrotation	2_grainrotation	3_grainrotation	4_grainrotation	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy
200	1	1	1	1	0.5	0.5	0.5	7.0	1.00032665535	0.000609878276744	0.0	-0.000126546277227	0.99927747134	0.0	0.000859278151827	0.000152797512083	0.999746444057	-319075540.647	42743882.477	27606922.9449	42743094.3583	-6033991.0919	10787359.7529	27316750.3739	10831713.8388	63410176.4845	0.458721465567	0.701233964772	-0.541614007962	0.0670806235645	-0.303091065748	-0.880028558415	0.365201471096	0.0813010977631	0.00032654494185138194	0.00024148784207666155	0.00042977607240693563	0.00024148784207666155	-0.0007228459762120741	7.625984216763534e-05	0.00042977607240693563	7.625984216763534e-05	-0.00025339765085129103	-319361120.9264858	42781162.456505075	27350043.079496205	42781162.45646997	-6038962.571640586	10827463.085866593	27350043.079462353	10827463.085893236	63460442.978781044
200	2	2	1	1	1.5	0.5	0.5	7.0	1.00114263301	0.00158162015617	0.0	-3.46964935167e-05	0.998464080298	0.0	-0.000406495913709	-0.000382671611526	0.999746444057	-317610382.977	2861344.92977	34454640.2669	2893493.3818	-18227816.8537	-38324945.006	34595069.2561	-38367156.9583	74829718.7928	0.458621025085	0.701290030393	-0.541744361011	0.0661218264567	0.31593258608	0.24097829045	0.917522934932	0.0788128606874	0.0011425915335117158	0.0007724924127462682	-0.00020345403778309067	0.0007724924127462681	-0.001537734280573518	-0.0001912198549892941	-0.00020345403778309067	-0.0001912198549892941	-0.00025351018239582943	-318175087.8051662	2869831.020999691	34596350.20271572	2869831.0210012193	-18211730.046319243	-38334285.99768176	34596350.20269808	-38334285.99768132	74859906.89301635
200	3	3	1	1	2.5	0.5	0.5	5.0	0.997628229442	0.00115547818682	0.0	-0.00200846219478	1.00123727071	0.0	-0.00061495888941	0.00203346573591	0.999746444057	-314825742.665	11991527.0019	20381702.2256	12824278.4451	-134301825.586	3836199.54154	20639325.7036	3591252.23991	-110841906.702	-0.207771350066	0.693413475097	0.689273325392	-0.0301844587349	0.73567584228	0.446058059129	0.509718863727	0.132917068336	-0.0023741906704958637	-0.00042356435475884857	-0.0003059468591049519	-0.00042356435475884857	0.0012373045175061918	0.0010174751212300472	-0.000305946859104952	0.0010174751212300472	-0.0002524603061640434	-314501840.91049016	12656251.077312425	20623156.38646557	12656251.07734024	-134680738.66107255	3559183.791589938	20623156.386432547	3559183.791588833	-110973264.98367096
200	4	4	1	1	3.5	0.5	0.5	5.0	0.999869363472	-0.0018777398737	0.0	0.0012714792721	0.999090961564	0.0	-0.000964205345752	0.00130960536914	0.999746444057	-291650077.022	30116069.7608	36829064.8115	29477183.7813	-130227347.931	8200568.92813	37160177.6758	7959508.23616	-98714849.6087	-0.207957183348	0.69304977474	0.689568513817	-0.0305136752785	0.337469442781	0.540905360553	0.77041263244	0.146279039673	-0.00012920666766682136	-0.0003023576182279404	-0.0004832559963676677	-0.0003023576182279403	-0.0009091618316476706	0.0006542079005895542	-0.0004832559963676677	0.0006542079005895543	-0.0002529265291264594	-292045400.4074629	29756265.388005696	37188367.475891426	29756265.388011202	-130239555.7922499	8009857.547015958	37188367.47585823	8009857.547016618	-98842778.91629021
200	5	5	1	1	4.5	0.5	0.5	9.0	1.00155828385	-0.00120857361511	0.0	0.00151466644681	0.998300719624	0.0	0.000475084550288	0.000751968743637	0.999746444057	-247700546.652	7429702.40017	43407123.2128	7170692.20727	115816391.77	-8891878.82657	43205966.3989	-8879658.90389	-26257589.6672	-0.400969572969	-0.309903942235	0.819534432091	0.267481331605	0.86275133085	0.461980356722	-0.205474715696	0.141173796445	0.0015577188465648799	0.0001551859316694122	0.0002370900216128167	0.00015518593166941223	-0.001699740745489317	0.00037640274264915004	0.0002370900216128167	0.00037640274264915004	-0.0002533901526249095	-248193633.1093561	7044678.545960353	43301143.68933292	7044678.545988215	115676179.16861975	-8802607.215076407	43301143.689450376	-8802607.215084357	-26247459.14816048
200	6	6	1	1	5.5	0.5	0.5	9.0	1.00049102669	-0.000483483079431	0.0	0.000529554194576	0.99995534094	0.0	0.000199073257456	-0.00015076915109	0.999746444057	-185724972.977	161373.504476	-63375.5772339	142345.299736	164225676.647	27748879.9939	-86912.6615119	27718396.1742	101026796.27	-0.401067659537	-0.310598452826	0.819636579072	0.266212719123	-0.702126750943	-0.137974681811	-0.698197477071	0.0411333190017	0.0004910124872449153	2.3173521966628943e-05	9.960003534553642e-05	2.3173521966628943e-05	-4.4526045212878485e-05	-7.535326527436904e-05	9.960003534553642e-05	-7.535326527436904e-05	-0.0002535725009427627	-185780403.8300059	63002.70393715784	-100337.35514558207	63002.703938096216	164186740.89557707	27711765.770113215	-100337.35514578545	27711765.7700777	100977502.09736572
200	7	7	1	1	6.5	0.5	0.5	9.0	1.00101446196	-0.00271073198365	0.0	0.00188192954976	0.99914258485	0.0	0.000202402277058	0.000429009927267	0.999746444057	-218090003.218	-46071870.0549	17429186.6655	-46054253.996	126099914.913	-12044413.6339	17310663.3667	-12039483.3561	55850423.9756	-0.400836500967	-0.310811118696	0.819339118384	0.267226415373	0.667417595717	0.371602648723	0.645218449326	0.0859982574375	0.0010174344626254256	-0.00041223940255288047	0.00010073385515465568	-0.0004122394025528806	-0.0008562253694342759	0.00021479120966988493	0.00010073385515465568	0.00021479120966988493	-0.00025353178933014154	-218206503.22119808	-46447085.279290736	17362463.06417275	-46447085.279466785	125916748.51115623	-11997690.679816497	17362463.064197548	-11997690.67977809	55839756.46738735
200	8	8	1	1	7.5	0.5	0.5	18.0	1.00031016865	-0.000375098704069	0.0	-0.000783479456005	0.99936857752	0.0	0.000856057537481	0.000837938551667	0.999746444057	-242721829.347	-44392926.5889	-22741377.6295	-44181017.8883	-53300970.3235	1926262.64389	-22972783.28	1826444.35157	64439897.5051	0.648104595859	-0.0931758771429	0.446483783032	0.609861394282	0.377890086538	0.900217111289	0.216283981941	0.0370021052915	0.0003096719038738924	-0.0005796578691846318	0.00042822275987409243	-0.0005796578691846318	-0.0006318262738041112	0.00041898796455458394	0.00042822275987409243	0.00041898796455458394	-0.0002532290539633238	-242920194.36946237	-44200153.05049755	-22993820.271713093	-44200153.05029605	-53263337.999405555	1844350.7008753757	-22993820.271615196	1844350.7008737782	64442491.28593651
200	9	9	1	1	8.5	0.5	0.5	18.0	1.00051179237	-0.000718760419646	0.0	-0.00031554468965	0.999461329197	0.0	-0.00131184327833	0.00146105400312	0.999746444057	-202421314.922	-42169901.3948	-24473088.3722	-42093537.0255	-44197547.178	14279625.8969	-24240290.2118	14266686.4859	134011301.201	0.647860175978	-0.0932991494415	0.446635522584	0.609991123756	0.837779269304	0.0885412944799	-0.539168836915	0.0260030922259	0.0005112220760302154	-0.0005165744947461321	-0.0006562347550480382	-0.0005165744947461321	-0.0005395673151549631	0.0007305794498859748	-0.0006562347550480382	0.0007305794498859748	-0.00025262415112354164	-202551505.3290817	-42095138.5131386	-24269768.641285013	-42095138.512999915	-44172866.33759074	14270659.3884951	-24269768.64115496	14270659.388515946	134067629.30898246
200	10	10	1	1	9.5	0.5	0.5	18.0	0.999944560251	0.000377385665291	0.0	-0.00104226155097	1.00002324807	0.0	-0.00127935422888	0.00117926637637	0.999746444057	-223253594.03	-49228201.0526	2594326.13371	-48989882.4571	-25147764.6503	34655203.7274	2808302.96345	34681556.9014	133808801.228	0.647582994828	-0.0932113689946	0.446809861236	0.610171167298	0.264267745056	-0.290431146659	-0.919628011218	0.0577563470619	-5.5889294453485994e-05	-0.00033203794497398207	-0.0006394201858569189	-0.000332037944973982	2.333220352425615e-05	0.0005902364297162992	-0.0006394201858569187	0.0005902364297162992	-0.00025283114173266794	-223323519.73520955	-49010641.94089438	2822040.856606042	-49010641.94100988	-25104452.50951802	34689334.70993784	2822040.856604051	34689334.709858194	133850373.06199382
