5	header
postResults v2.0.1	Myself_tensionX.spectralOut --cr f,p --co edge_density --co dipole_density --co twin_fraction
addStrainTensors v2.0.1	Myself_tensionX.txt --left --logarithmic
addCauchy v2.0.1	Myself_tensionX.txt
addMises v2.0.1	-e ln(V) -s Cauchy Myself_tensionX.txt
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_edge_density	2_edge_density	3_edge_density	4_edge_density	5_edge_density	6_edge_density	7_edge_density	8_edge_density	9_edge_density	10_edge_density	11_edge_density	12_edge_density	1_dipole_density	2_dipole_density	3_dipole_density	4_dipole_density	5_dipole_density	6_dipole_density	7_dipole_density	8_dipole_density	9_dipole_density	10_dipole_density	11_dipole_density	12_dipole_density	1_twin_fraction	2_twin_fraction	3_twin_fraction	4_twin_fraction	5_twin_fraction	6_twin_fraction	7_twin_fraction	8_twin_fraction	9_twin_fraction	10_twin_fraction	11_twin_fraction	12_twin_fraction	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	n/a	n/a	1	1	8.0	8.0	0.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-1.50665028051e-07	-1.66095823722e-06	-1.44489807254e-06	-1.66095823722e-06	1.77933902206e-06	1.56082785667e-06	-1.44489807254e-06	1.56082785667e-06	3.03374277356e-07	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.50665028051e-07	-1.66095823722e-06	-1.44489807254e-06	-1.66095823722e-06	1.77933902206e-06	1.56082785667e-06	-1.44489807254e-06	1.56082785667e-06	3.03374277356e-07	0.0	4.99027639895e-06
4	n/a	n/a	1	1	8.0	8.0	0.5	1.0004	-1.2493735972e-20	0.0	9.52912065661e-22	0.999879788314	0.0	-7.94093388051e-22	2.27640104575e-21	0.999886857054	67563881.833	501143.02018	-540242.843671	500882.742573	2956.66732412	-1468808.05811	-539965.586999	-1468818.73313	5314.4730352	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.00000000002	1.0	1.0	1.0	4.20563796298e-76	2.52954442687e-275	7.39745417129e-94	1.71532248651e-56	6.78900099398e-222	8.24060152639e-104	2.79038668954e-133	2.27135032984e-209	2.19369942756e-92	3.17106737344e-75	0.0	5.48009332999e-101	0.0003999200213268913	0.0	0.0	0.0	-0.00012021891200423573	0.0	0.0	0.0	-0.00011314934714612663	67579650.93841755	500999.32766262675	-540091.7582786822	500999.6463469571	2955.8195602008586	-1468397.2883158256	-540091.6125326466	-1468397.5793818093	5312.986779060022	0.00034442695261	67635398.3561
8	n/a	n/a	1	1	8.0	8.0	0.5	1.0008	2.41404389967e-20	0.0	-7.62329652529e-21	0.99975386313	0.0	-8.47032947254e-22	1.90582413132e-21	0.999774144272	133153571.554	904456.916767	-792568.050396	903511.828201	842.311071373	-2645548.35793	-791755.540996	-2645601.19479	-840.143846778	10000631185.1	10264374654.0	10336339413.7	10011094163.1	10835003255.8	10446285845.1	10000000046.4	10261493852.3	12444769989.0	10076529428.0	10091884091.7	10028403163.7	4462.01848417	6414983.65037	11548529.168	95325.7763481	25726489.4002	14994780.6303	1.36333610094	4771989.99319	141645821.782	1069339.45	1245964.80099	307330.108651	1.9948517182e-08	5.78974537209e-26	1.68228155395e-09	1.95383408323e-07	2.13467143059e-15	1.96789342084e-10	2.94107719805e-15	5.83700800424e-13	5.53948357301e-10	3.766569335e-09	1.44781101011e-26	1.49147820856e-09	0.0007996801705642441	0.0	0.0	0.0	-0.0002461671666499844	0.0	0.0	0.0	-0.00022588123724554904	133216441.32254475	903938.0892185089	-792129.475063392	903938.4301978785	841.8278928156515	-2644084.4177037566	-792129.3761626089	-2644083.587088923	-839.6789449101349	0.000690568907637	133311391.919
12	n/a	n/a	1	1	8.0	8.0	0.5	1.0012	3.38813178902e-21	0.0	-5.08219768353e-21	0.999548113268	0.0	1.88464830764e-20	2.08581863261e-20	0.999647207605	160426896.41	70095.3571078	1068713.99704	69980.6196031	1072.69795499	-1284396.40227	1067055.00422	-1284524.80421	3268.31676013	13178905622.4	17886562834.6	21975187467.7	14608083465.1	32412089165.0	23151009754.5	10714963845.6	14461709983.4	37601091740.8	17075007836.6	17433819923.1	12735485051.8	151666428.062	520794642.438	1073342302.29	219658517.136	1386076091.51	816555026.088	22430466.1282	204588038.028	3107848816.11	437234704.312	499906113.703	113902283.561	3.16368043014e-06	1.68329889583e-11	1.38209706323e-07	5.43475543949e-06	1.14314100575e-09	9.27967663791e-07	2.25095818706e-10	3.66793527804e-11	3.46163571077e-07	5.55986061157e-07	5.99240872944e-12	1.83072086247e-06	0.001199280575482187	0.0	0.0	0.0	-0.0004519888635786253	0.0	0.0	0.0	-0.000352854640877298	160556066.92956966	70036.05168201451	1067915.6542622398	70036.96572208765	1071.7903797726847	-1283436.942026779	1067914.1622065275	-1283438.0091127364	3265.875286463416	0.00106933438117	160579985.911
16	n/a	n/a	1	1	8.0	8.0	0.5	1.0016	-1.60936259978e-20	0.0	8.47032947254e-21	0.999327951499	0.0	-1.27054942088e-20	-2.32934060495e-20	0.999489135978	169011561.756	-270395.663877	2656811.20856	-269782.732305	1304.67815886	-276008.775104	2651212.52571	-276053.687119	-700.124452399	19617188027.6	33082584475.9	36590183021.4	24211562693.2	62255623164.6	45202918535.2	13144137142.8	20266433464.8	66311062104.1	30461806177.7	26765881360.9	18357721212.8	696282814.549	2327420938.17	3277301407.9	1187347735.43	5002901401.58	3301062370.21	175914365.499	752002726.705	8996902713.34	2005380689.9	1585675656.07	525253259.876	1.03675860993e-05	5.98823559857e-10	9.47298379245e-07	1.71366040429e-05	1.2282637456e-08	5.58459862156e-06	1.85770651644e-09	5.82801637882e-09	1.36187279664e-06	4.0134642576e-06	2.83182327193e-10	5.82090647788e-06	0.0015987213636970735	0.0	0.0	0.0	-0.0006722744268218143	0.0	0.0	0.0	-0.0005109945574840364	169211666.26039407	-270101.70716639695	2654350.9537776974	-270102.1467839923	1303.2597969880856	-275753.1860328913	2654351.480009863	-275753.5793707772	-699.4761246116615	0.00146320305759	169275129.776
20	n/a	n/a	1	1	8.0	8.0	0.5	1.002	1.01643953671e-20	0.0	3.47283508374e-20	0.999115611045	0.0	1.10114283143e-20	3.91752738105e-20	0.99931574289	174426662.993	-337257.120395	4041786.83579	-336287.408036	-2300.22782647	439944.340784	4030958.52731	440032.911075	-1285.91350661	27239374166.7	49564989390.9	52547314064.1	33220769340.5	90435677677.8	68169917274.5	16272250654.0	27143211813.5	92168557849.1	45756203778.0	37860145682.8	25962784589.9	1574214485.06	5406188455.2	6578964297.18	2550970159.64	10637740126.3	7145605620.16	502677186.282	1741147469.93	16858188552.3	4644704824.06	3238884725.91	1449194695.6	1.76721494372e-05	2.5444515108e-09	2.31149714396e-06	3.19676304355e-05	4.77850489707e-08	1.26883243966e-05	1.38833056071e-08	1.66743455597e-07	2.36028643167e-06	9.15731434179e-06	2.6389749112e-09	1.29414888162e-05	0.001998002662673058	0.0	0.0	0.0	-0.0008847802576380098	0.0	0.0	0.0	-0.0006844913207423839	174700600.6828453	-336814.42015175935	4037289.9316196656	-336815.5485972004	-2297.2084345677786	439454.8573893618	4037289.1619038507	439455.3022863742	-1284.4827953811546	0.0018586929096	174844915.346
24	n/a	n/a	1	1	8.0	8.0	0.5	1.0024	1.69406589451e-21	0.0	-1.18584612616e-20	0.998899480208	0.0	3.38813178902e-21	2.92226366803e-20	0.999142853623	178382797.336	-68563.5646706	5087759.23849	-68319.7123652	541.100219208	914724.629297	5071227.60411	914950.399598	-632.479012101	35077860016.6	66634912391.2	68106023321.2	42482997400.0	1.16957362449e+11	91189725339.6	20380282739.0	34433017467.6	1.16864713879e+11	61601257234.6	49705422008.3	34888959867.3	2784999575.89	9653959168.7	10989242106.6	4219310630.0	17728565843.5	12465496650.8	1007819046.16	3126836167.25	26698836267.7	8302377415.26	5492120846.31	3098305489.19	2.61529209231e-05	5.64555075164e-09	3.41232929323e-06	4.76979148246e-05	1.44636869481e-07	2.16011461458e-05	1.29057089267e-07	6.33929519422e-07	3.52834685469e-06	1.38629658113e-05	1.33491655299e-08	2.1448241153e-05	0.0023971245997214514	0.0	0.0	0.0	-0.0011011258085696768	0.0	0.0	0.0	-0.0008575139370061474	178732527.35854548	-68458.08469524256	5081169.779554963	-68453.65720126386	540.267776524161	913539.9151430716	5081170.045706417	913542.8160502873	-631.6598509964448	0.00225535287546	178956154.593
28	n/a	n/a	1	1	8.0	8.0	0.5	1.0028	-1.35525271561e-20	0.0	-5.92923063078e-20	0.998677183283	0.0	-9.3173624198e-20	-3.55753837847e-20	0.998974239368	181455966.296	349641.318052	5542773.18227	348208.188613	774.286241078	1091169.18716	5521629.41801	1091491.49214	1330.63742349	42721256039.8	84820928015.5	83618707330.3	51468867218.1	1.41929354593e+11	1.1397493138e+11	26932011500.1	41895056049.7	1.40170044297e+11	76314473494.2	61628455212.7	44640208060.5	4337629007.71	15113885327.1	16634077913.7	6257512541.86	25985050189.1	19381255936.0	1862693268.15	4903810375.56	38548415916.6	12788924415.7	8324603759.57	5396755594.7	3.59033692733e-05	1.12420202143e-08	4.84904445027e-06	6.37437183936e-05	3.71862893651e-07	3.11722724499e-05	2.61257511413e-07	1.25354276906e-06	4.52811539463e-06	1.82690485411e-05	5.49766372069e-08	2.98525107125e-05	0.002796087302001188	0.0	0.0	0.0	-0.001323692411374201	0.0	0.0	0.0	-0.0010262870844775717	181882885.52544492	349023.0700203793	5534618.036627235	349027.43294320063	772.917121011972	1089563.7374420406	5534620.392209063	1089561.478632712	1328.6796414142352	0.00265294724015	182145065.07
32	n/a	n/a	1	1	8.0	8.0	0.5	1.0032	3.04931861012e-20	0.0	2.03287907341e-20	0.998453422256	0.0	-2.71050543121e-20	-3.00696696275e-19	0.998806384258	184141255.337	757105.546088	5871897.22073	753525.219684	974.764482191	1250908.16365	5846184.15211	1251350.91216	-74.4364428426	50434522145.0	1.02992249287e+11	98771393903.0	60260317913.3	1.65779767759e+11	1.353029095e+11	34471633452.2	49455797403.2	1.6249421656e+11	90217274185.8	73659488797.9	54165384141.3	6213852950.77	21791375005.5	23397542893.5	8748897437.51	35494083834.4	27665593718.9	3170420612.71	7080839229.86	52075078692.4	18089705757.7	11822713280.8	8347816891.79	4.63147214049e-05	2.11685899584e-08	6.32280303826e-06	8.05130091536e-05	7.07052489571e-07	4.12724993719e-05	4.05278846908e-07	1.98140664358e-06	5.38880845505e-06	2.24879797171e-05	1.21399118548e-07	3.80708204939e-05	0.0031948908965192886	0.0	0.0	0.0	-0.001547774929879048	0.0	0.0	0.0	-0.001194328668633262	184646882.66032243	755592.4233826963	5862233.485894041	755594.2994194861	972.8163545119098	1248849.4687608976	5862236.993930109	1248850.0092313725	-74.31393830637953	0.0030507941331	184942678.737
36	n/a	n/a	1	1	8.0	8.0	0.5	1.0036	8.47032947254e-21	0.0	3.38813178902e-21	0.998230113913	0.0	5.08219768353e-21	1.99052742605e-20	0.998637511305	186492382.153	999406.590334	6075146.72288	994064.335601	-1776.28774568	1371930.99912	6045111.39956	1372491.6789	1428.36010673	58534366745.3	1.21199088681e+11	1.13812181252e+11	68969952163.0	1.89244589881e+11	1.55252296278e+11	42623438680.3	56986738012.2	1.83566893788e+11	1.03909992164e+11	85152008332.2	63435560476.1	8505553296.98	29670228512.8	31291122453.1	11650654002.6	46289964299.4	37023183225.0	4920933275.27	9648374481.1	66815442498.1	24185669440.1	15887190912.6	11883422904.3	5.73901436884e-05	3.54469321809e-08	8.03332196902e-06	9.83905111142e-05	1.12627366965e-06	5.16444770501e-05	5.79107322653e-07	2.7405420108e-06	6.19120501728e-06	2.64225853888e-05	2.34779209556e-07	4.62037228282e-05	0.003593535510130218	0.0	0.0	0.0	-0.0017714541858914745	0.0	0.0	0.0	-0.0013634177266811007	187077929.2116993	997180.2793145971	6064087.390055858	997185.4896189242	-1772.3308286253346	1369433.5052777717	6064091.784488636	1369434.2712559775	1425.75988807955	0.00344870325331	187395691.407
40	n/a	n/a	1	1	8.0	8.0	0.5	1.004	-2.62580213649e-20	0.0	-8.30092288309e-20	0.998007323246	0.0	-4.40457132572e-20	1.98205709658e-19	0.998467801275	188607907.87	1140173.6121	6104289.91285	1133374.16652	-219.398254587	1425142.41381	6070657.8828	1425804.93788	1058.63860025	66482773844.8	1.39735615739e+11	1.28572878213e+11	77271844620.9	2.12408306465e+11	1.74259373606e+11	50884327885.5	64370874812.9	2.03626376748e+11	1.17197386377e+11	96221637380.1	72757911634.5	11185899429.3	38631231442.4	40357566850.9	14876670550.5	58403460229.3	47320764203.5	7106337575.75	12593723570.9	82497552021.5	31017618347.6	20531825728.0	16045418203.9	6.85473942257e-05	5.13970699315e-08	1.03563630174e-05	0.000116624838388	1.50196102462e-06	6.25518123444e-05	1.01115379893e-06	3.42383972939e-06	7.0249444965e-06	3.01572459978e-05	3.95170519856e-07	5.43142541019e-05	0.003992021269537457	0.0	0.0	0.0	-0.0019946647757513062	0.0	0.0	0.0	-0.0015333737418593667	189274499.02189648	1137373.7703898435	6092109.6379775405	1137379.816122513	-218.8594941931362	1422298.737218548	6092113.223016457	1422303.6920230023	1056.5262318458558	0.00384659125445	189594220.897
