5	header
postResults v2.0.1	Myself_tensionX.spectralOut --cr f,p --co edge_density --co dipole_density --co twin_fraction
addStrainTensors v2.0.1	Myself_tensionX.txt --left --logarithmic
addCauchy v2.0.1	Myself_tensionX.txt
addMises v2.0.1	-e ln(V) -s Cauchy Myself_tensionX.txt
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_edge_density	2_edge_density	3_edge_density	4_edge_density	5_edge_density	6_edge_density	7_edge_density	8_edge_density	9_edge_density	10_edge_density	11_edge_density	12_edge_density	1_dipole_density	2_dipole_density	3_dipole_density	4_dipole_density	5_dipole_density	6_dipole_density	7_dipole_density	8_dipole_density	9_dipole_density	10_dipole_density	11_dipole_density	12_dipole_density	1_twin_fraction	2_twin_fraction	3_twin_fraction	4_twin_fraction	5_twin_fraction	6_twin_fraction	7_twin_fraction	8_twin_fraction	9_twin_fraction	10_twin_fraction	11_twin_fraction	12_twin_fraction	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	n/a	n/a	1	1	8.0	8.0	0.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-1.50665028051e-07	-1.66095823722e-06	-1.44489807254e-06	-1.66095823722e-06	1.77933902206e-06	1.56082785667e-06	-1.44489807254e-06	1.56082785667e-06	3.03374277356e-07	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.50665028051e-07	-1.66095823722e-06	-1.44489807254e-06	-1.66095823722e-06	1.77933902206e-06	1.56082785667e-06	-1.44489807254e-06	1.56082785667e-06	3.03374277356e-07	0.0	4.99027639895e-06
1	n/a	n/a	1	1	8.0	8.0	0.5	1.0005	1.27054942088e-21	0.0	4.87043944671e-21	0.999849701429	0.0	2.32934060495e-21	-2.91167575619e-21	0.999858514813	84460220.584	625185.855847	-676273.313057	624779.9483	-2771.68881953	-1837149.24884	-675839.611938	-1837165.33533	-3637.37562974	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	10000000000.0	1.00000000001	1.00000000875	1.00000001007	1.00000000009	1.00000467264	1.00000011799	1.0	1.00000015718	1.00008915333	1.00000000054	1.00000000635	1.00000000248	5.71348833121e-50	1.63059227448e-171	1.53006931889e-60	7.23484290157e-37	2.27782174524e-138	3.01403362033e-67	7.74976396996e-82	3.14078103197e-130	5.46899165937e-59	9.69507773216e-50	6.2252271376e-322	1.14905048369e-65	0.0004998750416509929	0.0	0.0	0.0	-0.00015030986696187726	0.0	0.0	0.0	-0.00014149519697300236	84484870.10031945	624961.8419805117	-676036.9527722528	624962.288855414	-2770.6956800925695	-1836507.1576747932	-676036.854135908	-1836507.0502675716	-3636.1043521027204	0.000430548460761	84562968.549
2	n/a	n/a	1	1	8.0	8.0	0.5	1.001	3.64224167319e-20	0.0	5.84452733605e-20	0.999658874445	0.0	1.73641754187e-20	-1.31290106824e-20	0.999714072779	151407343.872	515479.075396	265283.406736	514787.764521	1077.14517074	-1836780.19809	264943.961362	-1836881.163	-1433.00919254	11190759800.9	12689343705.5	15566271758.1	11058312665.5	18981592134.7	14154659497.2	10045872548.5	12197903154.9	23494607465.2	12393972443.4	13311883254.7	10873079038.2	43444013.6236	146846757.262	378301221.31	32263274.0259	459634633.991	214511859.74	458546.430237	74202664.2431	1176578150.43	112898143.714	166416659.466	24246006.2622	3.71539335885e-08	1.4581916562e-17	4.52096070736e-10	1.29965371062e-07	8.14143782213e-14	5.41602816871e-09	4.15089567794e-15	1.2805680338e-15	2.79773457734e-10	6.79547449563e-09	5.71612697535e-21	1.58116197144e-08	0.0009995003330834232	0.0	0.0	0.0	-0.0003411837515571679	0.0	0.0	0.0	-0.0002859681059814192	151502329.05090675	515111.39565458026	265108.8237422868	515110.7158829456	1076.376867084716	-1835571.4131542174	265110.17357421276	-1835570.9565856818	-1432.0661292782215	0.000875964445011	151539184.479
3	n/a	n/a	1	1	8.0	8.0	0.5	1.0015	2.28698895759e-20	0.0	-3.21872519957e-20	0.999383564234	0.0	-4.78573615199e-20	1.50348348138e-20	0.999528923764	167214530.596	-174041.728417	2310900.15535	-173672.649648	-1241.40599366	-612682.851948	2306354.05915	-612769.910112	147.780575529	17933069456.6	29880514364.3	33353915743.9	22297580564.6	55997997380.0	40363076040.9	12439318255.6	18834433885.9	58872637235.0	27499114007.5	24492535354.9	17010541638.2	591079509.328	1966043418.69	2896302133.24	996982096.749	4370000415.67	2853907557.78	136722899.047	616575278.122	7884795395.24	1755322563.79	1355430755.45	428586760.369	1.41014010267e-06	2.26251139554e-13	5.55995268618e-08	2.41861405151e-06	1.25670168297e-10	3.64063337379e-07	1.86267434219e-12	6.38273646305e-11	1.4471367594e-07	5.36221940084e-07	5.40586888603e-14	7.9787814868e-07	0.0014988761237359487	0.0	0.0	0.0	-0.0006166258406431446	0.0	0.0	0.0	-0.00047118722726784216	167396527.7190044	-173862.95954031244	2308862.2621318637	-173861.6758197557	-1240.1308698318335	-612142.5507039318	2308864.306327077	-612140.4967552434	147.65025357114914	0.00136444132308	167448462.987
4	n/a	n/a	1	1	8.0	8.0	0.5	1.002	1.02490986618e-19	0.0	3.72694496792e-20	0.999115289731	0.0	-5.75982404133e-20	7.4962415832e-20	0.999316417145	174534272.773	-195644.557317	4018729.33436	-195080.906131	708.162213191	339479.425643	4007967.48384	339548.628883	-943.299397534	27313352223.6	50391812674.4	53221101211.1	33838123300.1	92015389492.6	69316086307.5	16201388294.0	27239489479.8	91442712910.8	46723083219.7	38156299621.8	26743713172.7	1796191597.07	6310863258.69	7516002516.65	2946476065.89	12283033955.1	8360268114.33	568571613.348	1913820523.81	18711846580.1	5489932499.26	3601219103.33	1860854569.67	3.94632126006e-06	9.9035078716e-12	5.63964874815e-07	9.08842101923e-06	1.37674961028e-09	1.73775013456e-06	2.80963677804e-10	1.90046664261e-08	6.72767351689e-07	2.49175995017e-06	1.64054646159e-11	3.53877774362e-06	0.001998002662673058	0.0	0.0	0.0	-0.0008851018561074406	0.0	0.0	0.0	-0.0006838166042903759	174808317.73641324	-195387.6128407802	4014259.3750144592	-195387.21238783942	707.2321675437184	339101.8288692393	4014260.593411086	339102.6918950463	-942.2501828178961	0.00185861130952	174947967.649
5	n/a	n/a	1	1	8.0	8.0	0.5	1.0025	-4.06575814682e-20	0.0	5.16690097825e-20	0.998842161502	0.0	5.84452733605e-20	1.27054942088e-19	0.999103241542	179448481.686	174546.924995	5176663.02812	173909.414673	-1518.55775554	873085.80051	5159126.34812	873318.103879	1550.28367061	37072924220.7	71976017155.9	72815202864.9	45819940798.9	1.2560012982e+11	98148206476.9	21896857679.9	36324383070.5	1.2173199172e+11	66274552958.0	53105975594.3	38035886272.5	3548652167.42	12500178843.7	14065102267.5	5482686975.76	22506122398.2	16310286843.9	1342450339.4	3895537014.73	32430803385.5	10868637962.7	6856388944.84	4495904462.61	8.39953191831e-06	5.01011023446e-11	1.06766787585e-06	1.94924603314e-05	1.44908582583e-08	4.30073936766e-06	1.56918667478e-08	1.2567467348e-07	1.37442488855e-06	5.04873773368e-06	6.31976359063e-10	8.30758286455e-06	0.002496880198587146	0.0	0.0	0.0	-0.0011585093108387777	0.0	0.0	0.0	-0.000897160786411331	179817747.97860026	174267.92211341258	5169739.367274032	174267.2827597133	-1516.1304312564887	871918.0694949958	5169742.718020305	871922.1568147265	1548.2102039207373	0.00235464976045	180047125.041
6	n/a	n/a	1	1	8.0	8.0	0.5	1.003	-1.45689666928e-19	0.0	-7.11507675694e-20	0.998563646506	0.0	-4.40457132572e-20	-1.85923731922e-19	0.998892918925	183157422.896	692474.893665	5734494.01038	689410.814377	-969.119551343	1079590.85896	5711017.19242	1079946.37032	1331.09900758	46539911042.1	94861876201.4	92063694192.3	57391050244.3	1.56981433592e+11	1.25548543294e+11	30518352707.1	45597187965.8	1.50189205144e+11	84335127305.5	68454868232.6	50100437892.3	5800901383.84	20638472881.1	22300278770.4	8773362810.2	34652547304.3	26553086188.0	2772129165.12	6491218070.37	48797023143.7	17537983918.6	11178131190.7	8282760091.11	1.47623173255e-05	1.90663586122e-10	1.63719678444e-06	3.19003674708e-05	7.51153888333e-08	8.3752381057e-06	3.93339374442e-08	3.51440487005e-07	2.06696675398e-06	8.17268380566e-06	2.93065264513e-09	1.42644716232e-05	0.002995508979798371	0.0	0.0	0.0	-0.0014373860385311066	0.0	0.0	0.0	-0.001107694341919021	183624166.95818216	691168.8625845453	5725565.921042537	691167.6550167447	-967.2917590774474	1077910.0334818922	5725570.70229929	1077909.554923853	1329.0266066261977	0.00285172588513	183904957.732
7	n/a	n/a	1	1	8.0	8.0	0.5	1.0035	2.10064170919e-19	0.0	-3.89635155737e-20	0.998285216179	0.0	1.35525271561e-20	-1.39760436297e-20	0.998681498481	186291492.428	1055417.97477	6103973.05115	1049933.87231	1300.67745957	1242459.00567	6074666.83158	1242951.15157	1432.48883588	56505041576.3	1.17544867135e+11	1.10902540583e+11	68793755827.3	1.87253738475e+11	1.50919893329e+11	40351271014.8	54976685314.6	1.76902063415e+11	1.01851770477e+11	82917670156.6	61653322697.6	8687956650.48	30708285542.0	32289541399.2	12726040981.5	48719724615.6	38453143108.5	4940684218.12	9728236964.64	67271492386.4	25454399454.3	16451850398.9	12976365771.2	2.2969765282e-05	6.2028082355e-10	2.39625807211e-06	4.63504820578e-05	2.01061712192e-07	1.36646331876e-05	6.98647862864e-08	6.82148543824e-07	2.77549433854e-06	1.1445471552e-05	7.40046580219e-09	2.09853131268e-05	0.003493889254255838	0.0	0.0	0.0	-0.001716255745705713	0.0	0.0	0.0	-0.0013193715069319738	186857863.1696512	1053125.4431317435	6093132.062625997	1053125.922672551	1297.852186267372	1240252.3308191872	6093135.273234767	1240251.268767262	1429.944657702868	0.0033489835	187175511.348
8	n/a	n/a	1	1	8.0	8.0	0.5	1.004	1.43995601033e-19	0.0	-9.3173624198e-20	0.998006889672	0.0	-2.37169225231e-20	-3.8878812279e-19	0.998469316265	188999380.42	1267713.33416	6195095.71383	1260148.06676	24.5245180082	1330840.56671	6160964.72339	1331459.38535	1384.89220488	66414937148.7	1.40755914931e+11	1.29143762808e+11	79480167235.3	2.16843641947e+11	1.74897902639e+11	50578958498.4	64179848601.0	2.02130229136e+11	1.18892458344e+11	96721272853.0	73213329078.1	12140028621.8	42520347508.4	43944327891.2	17220987343.2	64812962930.1	51797598706.6	7799855614.54	13542144641.6	87189343834.4	34479839919.0	22600610756.7	18566396247.8	3.25074981687e-05	1.29200889759e-09	3.81543046393e-06	6.23116535655e-05	3.48878962941e-07	2.00911154782e-05	1.48573240137e-07	1.00489125736e-06	3.6196841975e-06	1.47531145128e-05	1.63060472315e-08	2.82633854724e-05	0.003992021269537457	0.0	0.0	0.0	-0.0019950992155440433	0.0	0.0	0.0	-0.0015318564281826363	189667149.75562507	1264598.3836033838	6182736.934438938	1264600.400071673	24.464257806652817	1328185.6335615215	6182732.537183914	1328187.8017500248	1382.1294425223005	0.00384630935378	189995077.344
9	n/a	n/a	1	1	8.0	8.0	0.5	1.0045	-1.01643953671e-19	0.0	8.30092288309e-20	0.997728574838	0.0	-5.92923063078e-20	-1.58395161137e-19	0.998256902664	191462879.303	1459871.00154	6207043.47732	1450025.16627	-431.576615774	1378728.17371	6168466.18799	1379452.70862	1011.93065936	76306034510.3	1.63858666693e+11	1.46422209859e+11	89861340950.2	2.45367381434e+11	1.98000725384e+11	60490188718.3	73009712854.5	2.26642760865e+11	1.35384374763e+11	1.10109571972e+11	84421080665.5	16199047780.9	55973768939.1	57013807825.6	22238720867.3	82575272617.5	66492019442.4	11225824396.1	17877024481.6	1.08563049472e+11	44490271935.5	29550133133.5	24941624064.4	4.30511287815e-05	2.33517152946e-09	5.64611623057e-06	7.92658898587e-05	5.77602181592e-07	2.72986309068e-05	3.28845040206e-07	1.35456764915e-06	4.58243350563e-06	1.80712588491e-05	3.9135361475e-08	3.62027515541e-05	0.004489905272852001	0.0	0.0	0.0	-0.0022740087611756925	0.0	0.0	0.0	-0.001744618297874288	192233845.2853995	1455868.7328959394	6193304.538985291	1455864.0008309707	-430.3934389350874	1375676.4371742175	6193304.828314612	1375670.9085048866	1009.6908082974529	0.00434357946287	192563877.863
