# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    5.09e+01  4.76e+01    3.53e+00  3.54e+00    1.61e+00  1.51e+00    1.0e-03
    100    1.02e+01  1.21e+01    2.46e+00  2.46e+00    3.22e-01  3.82e-01    1.0e-03
    200    4.65e+00  5.42e+00    2.07e+00  2.07e+00    1.46e-01  1.70e-01    1.0e-03
    300    4.60e+00  5.52e+00    1.63e+00  1.62e+00    1.45e-01  1.74e-01    1.0e-03
    400    4.10e+00  4.95e+00    1.27e+00  1.26e+00    1.29e-01  1.56e-01    1.0e-03
    500    4.04e+00  5.16e+00    9.83e-01  9.84e-01    1.27e-01  1.63e-01    1.0e-03
    600    4.42e+00  5.23e+00    6.31e-01  6.31e-01    1.40e-01  1.65e-01    1.0e-03
    700    4.43e+00  4.94e+00    3.93e-01  3.93e-01    1.40e-01  1.56e-01    1.0e-03
    800    3.77e+00  4.82e+00    2.58e-01  2.57e-01    1.19e-01  1.52e-01    1.0e-03
    900    4.24e+00  6.04e+00    1.21e-01  1.21e-01    1.34e-01  1.91e-01    1.0e-03
   1000    3.85e+00  6.04e+00    4.06e-02  4.12e-02    1.22e-01  1.91e-01    1.0e-03
   1100    3.72e+00  4.25e+00    1.54e-02  1.51e-02    1.18e-01  1.34e-01    1.0e-03
   1200    3.63e+00  4.93e+00    9.59e-04  9.86e-04    1.15e-01  1.56e-01    1.0e-03
   1300    3.77e+00  4.45e+00    1.76e-02  1.76e-02    1.19e-01  1.41e-01    1.0e-03
   1400    3.72e+00  4.77e+00    1.32e-02  1.36e-02    1.18e-01  1.51e-01    1.0e-03
   1500    3.62e+00  4.55e+00    4.32e-03  4.35e-03    1.14e-01  1.44e-01    1.0e-03
   1600    3.69e+00  3.52e+00    1.59e-02  1.63e-02    1.17e-01  1.11e-01    1.0e-03
   1700    3.93e+00  4.88e+00    2.15e-02  2.15e-02    1.24e-01  1.54e-01    1.0e-03
   1800    3.95e+00  3.89e+00    1.18e-01  1.17e-01    1.25e-01  1.23e-01    1.0e-03
   1900    3.67e+00  4.53e+00    4.54e-03  4.26e-03    1.16e-01  1.43e-01    1.0e-03
   2000    3.72e+00  3.66e+00    2.74e-02  2.72e-02    1.18e-01  1.16e-01    1.0e-03
   2100    3.59e+00  4.78e+00    2.14e-02  2.16e-02    1.14e-01  1.51e-01    1.0e-03
   2200    3.76e+00  4.33e+00    5.01e-02  5.02e-02    1.19e-01  1.37e-01    1.0e-03
   2300    3.65e+00  4.14e+00    5.19e-03  5.32e-03    1.15e-01  1.31e-01    1.0e-03
   2400    3.80e+00  5.06e+00    1.15e-02  1.14e-02    1.20e-01  1.60e-01    1.0e-03
   2500    3.75e+00  4.30e+00    1.62e-02  1.60e-02    1.19e-01  1.36e-01    1.0e-03
   2600    3.97e+00  4.66e+00    1.81e-02  1.83e-02    1.26e-01  1.47e-01    1.0e-03
   2700    3.80e+00  4.81e+00    1.41e-02  1.40e-02    1.20e-01  1.52e-01    1.0e-03
   2800    3.56e+00  4.15e+00    8.70e-02  8.71e-02    1.13e-01  1.31e-01    1.0e-03
   2900    3.64e+00  4.72e+00    2.27e-02  2.26e-02    1.15e-01  1.49e-01    1.0e-03
   3000    3.60e+00  4.54e+00    2.36e-02  2.37e-02    1.14e-01  1.43e-01    1.0e-03
   3100    3.65e+00  4.09e+00    3.33e-02  3.33e-02    1.16e-01  1.29e-01    1.0e-03
   3200    3.59e+00  4.74e+00    1.02e-02  9.93e-03    1.13e-01  1.50e-01    1.0e-03
   3300    3.53e+00  4.66e+00    5.97e-02  5.92e-02    1.12e-01  1.47e-01    1.0e-03
   3400    3.74e+00  3.96e+00    3.84e-03  4.37e-03    1.18e-01  1.25e-01    1.0e-03
   3500    3.60e+00  4.77e+00    5.63e-03  5.47e-03    1.14e-01  1.51e-01    1.0e-03
   3600    3.71e+00  4.70e+00    4.03e-02  4.00e-02    1.17e-01  1.49e-01    1.0e-03
   3700    3.51e+00  4.64e+00    1.99e-02  2.03e-02    1.11e-01  1.47e-01    1.0e-03
   3800    3.69e+00  5.39e+00    4.17e-02  4.22e-02    1.17e-01  1.70e-01    1.0e-03
   3900    3.75e+00  4.71e+00    5.52e-03  5.74e-03    1.19e-01  1.49e-01    1.0e-03
   4000    4.16e+00  4.63e+00    2.16e-02  2.17e-02    1.32e-01  1.46e-01    1.0e-03
   4100    3.65e+00  4.39e+00    3.24e-02  3.20e-02    1.15e-01  1.39e-01    1.0e-03
   4200    3.64e+00  4.96e+00    6.66e-03  7.27e-03    1.15e-01  1.57e-01    1.0e-03
   4300    3.71e+00  4.13e+00    3.55e-03  4.14e-03    1.17e-01  1.31e-01    1.0e-03
   4400    3.57e+00  4.31e+00    7.13e-02  7.09e-02    1.13e-01  1.36e-01    1.0e-03
   4500    3.76e+00  3.89e+00    1.67e-02  1.67e-02    1.19e-01  1.23e-01    1.0e-03
   4600    3.66e+00  4.56e+00    1.46e-01  1.46e-01    1.16e-01  1.44e-01    1.0e-03
   4700    3.68e+00  5.03e+00    4.37e-02  4.34e-02    1.16e-01  1.59e-01    1.0e-03
   4800    3.63e+00  4.00e+00    3.92e-02  3.92e-02    1.15e-01  1.27e-01    1.0e-03
   4900    3.68e+00  3.47e+00    5.67e-02  5.65e-02    1.16e-01  1.10e-01    1.0e-03
   5000    3.17e+00  3.84e+00    4.09e-02  4.09e-02    1.16e-01  1.40e-01    7.5e-04
   5100    3.15e+00  4.05e+00    3.43e-03  3.06e-03    1.15e-01  1.48e-01    7.5e-04
   5200    3.32e+00  3.23e+00    8.78e-02  8.80e-02    1.21e-01  1.18e-01    7.5e-04
   5300    3.12e+00  3.64e+00    3.79e-02  3.79e-02    1.14e-01  1.33e-01    7.5e-04
   5400    3.30e+00  4.64e+00    9.35e-02  9.35e-02    1.21e-01  1.69e-01    7.5e-04
   5500    3.30e+00  3.90e+00    8.45e-02  8.41e-02    1.20e-01  1.42e-01    7.5e-04
