#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       2.213254e+00       5.255942e-01       8.852363e-01       3.503436e-02       8.830110e-03       1.583165e-02
         100       2.218197e+00       5.421823e-01       8.875445e-01       4.621989e-02       9.229671e-03       2.592309e-02
         200       2.220080e+00       5.359464e-01       8.883992e-01       2.331073e-01       3.750674e-02       9.360540e-02
         300       2.203189e+00       5.329823e-01       8.817290e-01       3.076796e-01       6.883659e-02       1.261080e-01
         400       2.207983e+00       5.405681e-01       8.833778e-01       2.546662e-01       4.043605e-02       1.039069e-01
         500       2.182788e+00       5.358122e-01       8.740723e-01       5.192847e-01       1.067469e-01       2.112926e-01
         600       2.212590e+00       5.096143e-01       8.853967e-01       2.359462e-01       5.110883e-02       9.894087e-02
         700       2.218597e+00       5.224670e-01       8.875800e-01       1.336219e-01       3.324929e-02       5.613640e-02
         800       2.199017e+00       5.090619e-01       8.798773e-01       1.245839e-01       2.720945e-02       5.252600e-02
         900       2.205319e+00       5.243228e-01       8.821216e-01       7.404080e-02       2.005079e-02       3.423433e-02
        1000       2.227958e+00       5.278059e-01       8.922160e-01       3.843325e-01       8.122079e-02       1.642215e-01
        1100       2.229606e+00       5.350984e-01       8.918414e-01       1.595258e-02       3.286971e-03       8.750718e-03
        1200       2.214761e+00       5.062030e-01       8.858795e-01       2.657044e-02       4.165590e-03       1.727329e-02
        1300       2.227196e+00       5.127436e-01       8.916370e-01       2.715259e-01       7.181221e-02       1.306001e-01
        1400       2.190446e+00       5.400995e-01       8.768352e-01       7.541183e-02       1.981852e-02       4.517396e-02
        1500       2.177612e+00       5.115913e-01       8.711645e-01       2.950131e-01       8.305510e-02       1.447261e-01
        1600       2.162785e+00       5.022274e-01       8.665127e-01       4.743046e-01       1.073728e-01       1.915270e-01
        1700       2.186498e+00       5.152408e-01       8.745969e-01       9.987187e-02       2.171076e-02       5.336276e-02
        1800       2.197622e+00       5.329204e-01       8.791967e-01       9.109097e-02       1.930280e-02       3.904394e-02
        1900       2.198415e+00       5.169392e-01       8.797014e-01       1.850187e-01       2.675303e-02       7.501350e-02
        2000       2.206063e+00       5.207868e-01       8.823464e-01       8.462866e-02       1.830786e-02       3.480993e-02
        2100       2.200431e+00       5.076989e-01       8.801951e-01       9.443117e-02       1.947897e-02       4.061052e-02
        2200       2.212932e+00       5.143384e-01       8.854110e-01       9.774695e-02       1.753590e-02       4.342418e-02
        2300       2.225835e+00       5.313715e-01       8.902358e-01       9.090649e-02       1.572288e-02       3.895830e-02
        2400       2.223711e+00       5.435465e-01       8.890294e-01       9.632923e-02       2.061272e-02       5.291388e-02
        2500       2.226714e+00       5.376016e-01       8.907596e-01       7.114400e-02       1.470126e-02       3.203767e-02
        2600       2.233373e+00       5.347531e-01       8.934260e-01       2.553144e-02       5.185488e-03       1.200264e-02
        2700       2.220929e+00       5.356320e-01       8.883752e-01       6.945985e-02       1.743062e-02       3.220698e-02
        2800       2.250664e+00       5.254354e-01       9.003307e-01       8.453525e-02       3.224738e-02       4.989647e-02
        2900       2.278506e+00       5.451968e-01       9.112501e-01       9.298544e-02       3.212133e-02       5.685050e-02
        3000       2.259753e+00       5.257545e-01       9.038226e-01       5.418518e-02       2.113668e-02       3.618277e-02
        3100       2.238933e+00       5.263274e-01       8.956405e-01       1.539418e-01       3.047136e-02       6.476579e-02
        3200       2.231095e+00       5.334497e-01       8.926237e-01       6.311825e-02       2.436194e-02       3.871470e-02
        3300       2.205847e+00       5.253988e-01       8.819832e-01       9.997421e-02       2.682627e-02       5.103628e-02
        3400       2.175667e+00       5.374510e-01       8.708375e-01       6.016066e-02       1.501408e-02       3.901974e-02
        3500       2.198848e+00       5.012943e-01       8.793362e-01       9.082380e-02       2.423045e-02       5.049472e-02
        3600       2.235948e+00       5.255562e-01       8.947643e-01       2.291189e-01       6.086536e-02       1.088353e-01
        3700       2.251840e+00       5.379077e-01       9.008074e-01       6.263796e-02       1.513366e-02       2.837695e-02
        3800       2.265796e+00       5.551333e-01       9.064714e-01       7.308936e-02       1.443209e-02       3.666412e-02
        3900       2.233256e+00       5.425001e-01       8.935790e-01       1.310675e-01       2.646896e-02       6.903555e-02
        4000       2.256414e+00       5.493281e-01       9.026670e-01       6.940222e-02       1.445878e-02       4.228874e-02
        4100       2.268013e+00       5.573382e-01       9.072104e-01       3.723518e-02       5.963582e-03       2.632038e-02
        4200       2.258651e+00       5.436658e-01       9.035924e-01       1.171734e-01       1.918849e-02       5.103226e-02
        4300       2.242622e+00       5.534700e-01       8.971354e-01       3.951129e-02       3.577647e-03       2.006951e-02
        4400       2.236285e+00       5.390124e-01       8.944993e-01       5.876964e-02       1.317523e-02       2.432025e-02
        4500       2.234255e+00       5.344332e-01       8.936741e-01       4.611974e-02       1.011895e-02       1.991542e-02
        4600       2.226506e+00       5.301320e-01       8.906683e-01       7.447922e-02       2.199429e-02       3.355955e-02
        4700       2.210122e+00       5.180951e-01       8.840244e-01       5.503348e-02       9.882111e-03       2.296664e-02
        4800       2.210494e+00       5.345685e-01       8.842205e-01       4.050092e-02       9.082400e-03       1.862038e-02
        4900       2.211111e+00       5.124842e-01       8.847425e-01       1.303826e-01       2.193258e-02       5.318365e-02
        5000       2.205096e+00       5.184345e-01       8.819784e-01       7.604174e-02       1.669019e-02       3.811607e-02
