 Lammps data file for nanotube
 
        2745 atoms
           1 atom types
 
  -33.66221       67.32442     xlo xhi
  -29.16934       58.33868     ylo yhi
  -80.00000       80.00000     zlo zhi
 
  Atoms
 
    1    1 -33.738 -29.246   0.000
    2    1 -32.342 -29.246   0.000
    3    1 -31.644 -28.037   0.000
    4    1 -30.248 -28.037   0.000
    5    1 -33.738 -26.828   0.000
    6    1 -32.342 -26.828   0.000
    7    1 -31.644 -25.619   0.000
    8    1 -30.248 -25.619   0.000
    9    1 -33.738 -24.410   0.000
   10    1 -32.342 -24.410   0.000
   11    1 -31.644 -23.201   0.000
   12    1 -30.248 -23.201   0.000
   13    1 -33.738 -21.992   0.000
   14    1 -32.342 -21.992   0.000
   15    1 -31.644 -20.783   0.000
   16    1 -30.248 -20.783   0.000
   17    1 -33.738 -19.574   0.000
   18    1 -32.342 -19.574   0.000
   19    1 -31.644 -18.365   0.000
   20    1 -30.248 -18.365   0.000
   21    1 -33.738 -17.156   0.000
   22    1 -32.342 -17.156   0.000
   23    1 -31.644 -15.947   0.000
   24    1 -30.248 -15.947   0.000
   25    1 -33.738 -14.738   0.000
   26    1 -32.342 -14.738   0.000
   27    1 -31.644 -13.529   0.000
   28    1 -30.248 -13.529   0.000
   29    1 -33.738 -12.320   0.000
   30    1 -32.342 -12.320   0.000
   31    1 -31.644 -11.111   0.000
   32    1 -30.248 -11.111   0.000
   33    1 -33.738  -9.902   0.000
   34    1 -32.342  -9.902   0.000
   35    1 -31.644  -8.693   0.000
   36    1 -30.248  -8.693   0.000
   37    1 -33.738  -7.484   0.000
   38    1 -32.342  -7.484   0.000
   39    1 -31.644  -6.275   0.000
   40    1 -30.248  -6.275   0.000
   41    1 -33.738  -5.066   0.000
   42    1 -32.342  -5.066   0.000
   43    1 -31.644  -3.857   0.000
   44    1 -30.248  -3.857   0.000
   45    1 -33.738  -2.648   0.000
   46    1 -32.342  -2.648   0.000
   47    1 -31.644  -1.439   0.000
   48    1 -30.248  -1.439   0.000
   49    1 -29.550 -29.246   0.000
   50    1 -28.154 -29.246   0.000
   51    1 -27.456 -28.037   0.000
   52    1 -26.060 -28.037   0.000
   53    1 -29.550 -26.828   0.000
   54    1 -28.154 -26.828   0.000
   55    1 -27.456 -25.619   0.000
   56    1 -26.060 -25.619   0.000
   57    1 -29.550 -24.410   0.000
   58    1 -28.154 -24.410   0.000
   59    1 -27.456 -23.201   0.000
   60    1 -26.060 -23.201   0.000
   61    1 -29.550 -21.992   0.000
   62    1 -28.154 -21.992   0.000
   63    1 -27.456 -20.783   0.000
   64    1 -26.060 -20.783   0.000
   65    1 -29.550 -19.574   0.000
   66    1 -28.154 -19.574   0.000
   67    1 -27.456 -18.365   0.000
   68    1 -26.060 -18.365   0.000
   69    1 -29.550 -17.156   0.000
   70    1 -28.154 -17.156   0.000
   71    1 -27.456 -15.947   0.000
   72    1 -26.060 -15.947   0.000
   73    1 -29.550 -14.738   0.000
   74    1 -28.154 -14.738   0.000
   75    1 -27.456 -13.529   0.000
   76    1 -26.060 -13.529   0.000
   77    1 -29.550 -12.320   0.000
   78    1 -28.154 -12.320   0.000
   79    1 -27.456 -11.111   0.000
   80    1 -26.060 -11.111   0.000
   81    1 -29.550  -9.902   0.000
   82    1 -28.154  -9.902   0.000
   83    1 -27.456  -8.693   0.000
   84    1 -26.060  -8.693   0.000
   85    1 -29.550  -7.484   0.000
   86    1 -28.154  -7.484   0.000
   87    1 -27.456  -6.275   0.000
   88    1 -26.060  -6.275   0.000
   89    1 -29.550  -5.066   0.000
   90    1 -28.154  -5.066   0.000
   91    1 -27.456  -3.857   0.000
   92    1 -26.060  -3.857   0.000
   93    1 -29.550  -2.648   0.000
   94    1 -28.154  -2.648   0.000
   95    1 -27.456  -1.439   0.000
   96    1 -26.060  -1.439   0.000
   97    1 -25.362 -29.246   0.000
   98    1 -23.966 -29.246   0.000
   99    1 -23.268 -28.037   0.000
  100    1 -21.872 -28.037   0.000
  101    1 -25.362 -26.828   0.000
  102    1 -23.966 -26.828   0.000
  103    1 -23.268 -25.619   0.000
  104    1 -21.872 -25.619   0.000
  105    1 -25.362 -24.410   0.000
  106    1 -23.966 -24.410   0.000
  107    1 -23.268 -23.201   0.000
  108    1 -21.872 -23.201   0.000
  109    1 -25.362 -21.992   0.000
  110    1 -23.966 -21.992   0.000
  111    1 -23.268 -20.783   0.000
  112    1 -25.362 -19.574   0.000
  113    1 -23.966 -19.574   0.000
  114    1 -25.362 -17.156   0.000
  115    1 -25.362 -14.738   0.000
  116    1 -25.362 -12.320   0.000
  117    1 -25.362  -9.902   0.000
  118    1 -23.966  -9.902   0.000
  119    1 -23.268  -8.693   0.000
  120    1 -25.362  -7.484   0.000
  121    1 -23.966  -7.484   0.000
  122    1 -23.268  -6.275   0.000
  123    1 -21.872  -6.275   0.000
  124    1 -25.362  -5.066   0.000
  125    1 -23.966  -5.066   0.000
  126    1 -23.268  -3.857   0.000
  127    1 -21.872  -3.857   0.000
  128    1 -25.362  -2.648   0.000
  129    1 -23.966  -2.648   0.000
  130    1 -23.268  -1.439   0.000
  131    1 -21.872  -1.439   0.000
  132    1 -21.174 -29.246   0.000
  133    1 -19.778 -29.246   0.000
  134    1 -19.080 -28.037   0.000
  135    1 -17.684 -28.037   0.000
  136    1 -21.174 -26.828   0.000
  137    1 -19.778 -26.828   0.000
  138    1 -19.080 -25.619   0.000
  139    1 -17.684 -25.619   0.000
  140    1 -21.174 -24.410   0.000
  141    1 -19.778 -24.410   0.000
  142    1 -19.080 -23.201   0.000
  143    1 -17.684 -23.201   0.000
  144    1 -21.174 -21.992   0.000
  145    1 -21.174  -7.484   0.000
  146    1 -19.080  -6.275   0.000
  147    1 -17.684  -6.275   0.000
  148    1 -21.174  -5.066   0.000
  149    1 -19.778  -5.066   0.000
  150    1 -19.080  -3.857   0.000
  151    1 -17.684  -3.857   0.000
  152    1 -21.174  -2.648   0.000
  153    1 -19.778  -2.648   0.000
  154    1 -19.080  -1.439   0.000
  155    1 -17.684  -1.439   0.000
  156    1 -16.986 -29.246   0.000
  157    1 -15.590 -29.246   0.000
  158    1 -14.892 -28.037   0.000
  159    1 -13.496 -28.037   0.000
  160    1 -16.986 -26.828   0.000
  161    1 -15.590 -26.828   0.000
  162    1 -14.892 -25.619   0.000
  163    1 -13.496 -25.619   0.000
  164    1 -16.986 -24.410   0.000
  165    1 -15.590 -24.410   0.000
  166    1 -14.892 -23.201   0.000
  167    1 -13.496 -23.201   0.000
  168    1 -14.892  -6.275   0.000
  169    1 -13.496  -6.275   0.000
  170    1 -16.986  -5.066   0.000
  171    1 -15.590  -5.066   0.000
  172    1 -14.892  -3.857   0.000
  173    1 -13.496  -3.857   0.000
  174    1 -16.986  -2.648   0.000
  175    1 -15.590  -2.648   0.000
  176    1 -14.892  -1.439   0.000
  177    1 -13.496  -1.439   0.000
  178    1 -12.798 -29.246   0.000
  179    1 -11.402 -29.246   0.000
  180    1 -10.704 -28.037   0.000
  181    1  -9.308 -28.037   0.000
  182    1 -12.798 -26.828   0.000
  183    1 -11.402 -26.828   0.000
  184    1 -10.704 -25.619   0.000
  185    1  -9.308 -25.619   0.000
  186    1 -12.798 -24.410   0.000
  187    1 -11.402 -24.410   0.000
  188    1 -10.704 -23.201   0.000
  189    1  -9.308 -23.201   0.000
  190    1 -12.798 -21.992   0.000
  191    1 -11.402 -21.992   0.000
  192    1 -10.704 -20.783   0.000
  193    1  -9.308 -20.783   0.000
  194    1  -9.308 -18.365   0.000
  195    1  -9.308 -11.111   0.000
  196    1 -10.704  -8.693   0.000
  197    1  -9.308  -8.693   0.000
  198    1 -12.798  -7.484   0.000
  199    1 -11.402  -7.484   0.000
  200    1 -10.704  -6.275   0.000
  201    1  -9.308  -6.275   0.000
  202    1 -12.798  -5.066   0.000
  203    1 -11.402  -5.066   0.000
  204    1 -10.704  -3.857   0.000
  205    1  -9.308  -3.857   0.000
  206    1 -12.798  -2.648   0.000
  207    1 -11.402  -2.648   0.000
  208    1 -10.704  -1.439   0.000
  209    1  -9.308  -1.439   0.000
  210    1  -8.610 -29.246   0.000
  211    1  -7.214 -29.246   0.000
  212    1  -6.516 -28.037   0.000
  213    1  -5.120 -28.037   0.000
  214    1  -8.610 -26.828   0.000
  215    1  -7.214 -26.828   0.000
  216    1  -6.516 -25.619   0.000
  217    1  -5.120 -25.619   0.000
  218    1  -8.610 -24.410   0.000
  219    1  -7.214 -24.410   0.000
  220    1  -6.516 -23.201   0.000
  221    1  -5.120 -23.201   0.000
  222    1  -8.610 -21.992   0.000
  223    1  -7.214 -21.992   0.000
  224    1  -6.516 -20.783   0.000
  225    1  -5.120 -20.783   0.000
  226    1  -8.610 -19.574   0.000
  227    1  -7.214 -19.574   0.000
  228    1  -6.516 -18.365   0.000
  229    1  -5.120 -18.365   0.000
  230    1  -8.610 -17.156   0.000
  231    1  -7.214 -17.156   0.000
  232    1  -6.516 -15.947   0.000
  233    1  -5.120 -15.947   0.000
  234    1  -8.610 -14.738   0.000
  235    1  -7.214 -14.738   0.000
  236    1  -6.516 -13.529   0.000
  237    1  -5.120 -13.529   0.000
  238    1  -8.610 -12.320   0.000
  239    1  -7.214 -12.320   0.000
  240    1  -6.516 -11.111   0.000
  241    1  -5.120 -11.111   0.000
  242    1  -8.610  -9.902   0.000
  243    1  -7.214  -9.902   0.000
  244    1  -6.516  -8.693   0.000
  245    1  -5.120  -8.693   0.000
  246    1  -8.610  -7.484   0.000
  247    1  -7.214  -7.484   0.000
  248    1  -6.516  -6.275   0.000
  249    1  -5.120  -6.275   0.000
  250    1  -8.610  -5.066   0.000
  251    1  -7.214  -5.066   0.000
  252    1  -6.516  -3.857   0.000
  253    1  -5.120  -3.857   0.000
  254    1  -8.610  -2.648   0.000
  255    1  -7.214  -2.648   0.000
  256    1  -6.516  -1.439   0.000
  257    1  -5.120  -1.439   0.000
  258    1  -4.422 -29.246   0.000
  259    1  -3.026 -29.246   0.000
  260    1  -2.328 -28.037   0.000
  261    1  -0.932 -28.037   0.000
  262    1  -4.422 -26.828   0.000
  263    1  -3.026 -26.828   0.000
  264    1  -2.328 -25.619   0.000
  265    1  -0.932 -25.619   0.000
  266    1  -4.422 -24.410   0.000
  267    1  -3.026 -24.410   0.000
  268    1  -2.328 -23.201   0.000
  269    1  -0.932 -23.201   0.000
  270    1  -4.422 -21.992   0.000
  271    1  -3.026 -21.992   0.000
  272    1  -2.328 -20.783   0.000
  273    1  -0.932 -20.783   0.000
  274    1  -4.422 -19.574   0.000
  275    1  -3.026 -19.574   0.000
  276    1  -2.328 -18.365   0.000
  277    1  -0.932 -18.365   0.000
  278    1  -4.422 -17.156   0.000
  279    1  -3.026 -17.156   0.000
  280    1  -2.328 -15.947   0.000
  281    1  -0.932 -15.947   0.000
  282    1  -4.422 -14.738   0.000
  283    1  -3.026 -14.738   0.000
  284    1  -2.328 -13.529   0.000
  285    1  -0.932 -13.529   0.000
  286    1  -4.422 -12.320   0.000
  287    1  -3.026 -12.320   0.000
  288    1  -2.328 -11.111   0.000
