 Lammps data file for nanotube
 
        9216 atoms
           1 atom types
 
  -33.66221       67.32442     xlo xhi
  -26.75140       60.75663     ylo yhi
  -80.00000       80.00000     zlo zhi
 
  Atoms
 
    1    1 -33.738 -26.816   0.000
    2    1 -32.336 -26.816   0.000
    3    1 -31.635 -25.602   0.000
    4    1 -30.232 -25.602   0.000
    5    1 -33.738 -24.388   0.000
    6    1 -32.336 -24.388   0.000
    7    1 -31.635 -23.172   0.000
    8    1 -30.232 -23.172   0.000
    9    1 -33.738 -21.958   0.000
   10    1 -32.336 -21.958   0.000
   11    1 -31.635 -20.744   0.000
   12    1 -30.232 -20.744   0.000
   13    1 -33.738 -19.529   0.000
   14    1 -32.336 -19.529   0.000
   15    1 -31.635 -18.315   0.000
   16    1 -30.232 -18.315   0.000
   17    1 -33.738 -17.101   0.000
   18    1 -32.336 -17.101   0.000
   19    1 -31.635 -15.886   0.000
   20    1 -30.232 -15.886   0.000
   21    1 -33.738 -14.671   0.000
   22    1 -32.336 -14.671   0.000
   23    1 -31.635 -13.457   0.000
   24    1 -30.232 -13.457   0.000
   25    1 -33.738 -12.243   0.000
   26    1 -32.336 -12.243   0.000
   27    1 -31.635 -11.028   0.000
   28    1 -30.232 -11.028   0.000
   29    1 -33.738  -9.813   0.000
   30    1 -32.336  -9.813   0.000
   31    1 -31.635  -8.599   0.000
   32    1 -30.232  -8.599   0.000
   33    1 -33.738  -7.385   0.000
   34    1 -32.336  -7.385   0.000
   35    1 -31.635  -6.170   0.000
   36    1 -30.232  -6.170   0.000
   37    1 -33.738  -4.956   0.000
   38    1 -32.336  -4.956   0.000
   39    1 -31.635  -3.742   0.000
   40    1 -30.232  -3.742   0.000
   41    1 -33.738  -2.526   0.000
   42    1 -32.336  -2.526   0.000
   43    1 -31.635  -1.312   0.000
   44    1 -30.232  -1.312   0.000
   45    1 -33.738  -0.098   0.000
   46    1 -32.336  -0.098   0.000
   47    1 -31.635   1.117   0.000
   48    1 -30.232   1.117   0.000
   49    1 -29.531 -26.816   0.000
   50    1 -28.129 -26.816   0.000
   51    1 -27.427 -25.602   0.000
   52    1 -26.024 -25.602   0.000
   53    1 -29.531 -24.388   0.000
   54    1 -28.129 -24.388   0.000
   55    1 -27.427 -23.172   0.000
   56    1 -26.024 -23.172   0.000
   57    1 -29.531 -21.958   0.000
   58    1 -28.129 -21.958   0.000
   59    1 -27.427 -20.744   0.000
   60    1 -26.024 -20.744   0.000
   61    1 -29.531 -19.529   0.000
   62    1 -28.129 -19.529   0.000
   63    1 -27.427 -18.315   0.000
   64    1 -26.052 -18.358  -0.086
   65    1 -29.531 -17.101   0.000
   66    1 -28.129 -17.101   0.000
   67    1 -27.427 -15.886   0.000
   68    1 -26.052 -15.989  -0.221
   69    1 -29.531 -14.671   0.000
   70    1 -28.129 -14.671   0.000
   71    1 -27.392 -13.489   0.039
   72    1 -26.021 -13.705   0.339
   73    1 -29.531 -12.243   0.000
   74    1 -28.129 -12.243   0.000
   75    1 -27.379 -10.998  -0.007
   76    1 -25.995 -10.785   0.317
   77    1 -29.531  -9.813   0.000
   78    1 -28.129  -9.813   0.000
   79    1 -27.427  -8.599   0.000
